,trigger,leftvar,AMS,MAD,MSE,ROCIntegral,overtrain
35,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hpt,0.87,0.11503736805052205,0.01983964559074131,83.57077186091168,1.9352280517523468
36,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wpt,0.836,0.11976393371482792,0.021374631783310352,83.64983328502643,1.9406515166774625
37,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_bb,1.0,0.12195322771570953,0.02249578786915677,83.1403751586308,1.928432772110682
38,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_W,0.881,0.1189668326873214,0.021444140931747714,83.2046838582843,1.9340793045719238
39,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,Jet_HT,0.887,0.11179085484023867,0.01924729996918809,82.29434426037199,1.9241031349342848
40,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_pt1,0.998,0.11434241145396787,0.019924055690549846,82.87491338674253,1.9141729974268955
41,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_pt2,0.887,0.11604520569022704,0.02011840239004018,82.86231474418494,1.9243085228622476
42,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_pt1,0.912,0.11359369633708391,0.01975456134293288,83.46449366703469,1.9162392736307083
43,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_pt2,0.994,0.11593675106475715,0.02032751842095415,83.47326118764703,1.9365268782368101
44,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_btagDeepB1,0.995,0.11751311196425782,0.020719910644270496,83.14565547417348,1.9123938171760528
45,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_btagDeepB2,0.907,0.12281534613153214,0.022628604762641336,83.43955650581069,1.9339435839824546
46,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_btagDeepB1,0.887,0.115392204685239,0.020200323805602306,83.19181857145564,1.9163858190104293
47,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_btagDeepB2,0.948,0.1205286200018432,0.02183862480728771,83.23626753807974,1.9246500167573686
48,HLT_PFHT180,recon_Wmass,0.797,0.1310259167692925,0.027015885685410166,82.69933922787918,1.97258990416276
49,HLT_PFHT180,recon_Hmass,0.863,0.12617624700250674,0.023815267900966657,82.81076928216169,1.972637828444931
50,HLT_PFHT180,deltaR_reconHW,0.847,0.13463710090609213,0.027179987031079853,81.2052342297812,1.971027348224652
51,HLT_PFHT180,recon_Hpt,0.985,0.13649406390639596,0.027978473942745025,84.02209498224327,1.9742605070582613
52,HLT_PFHT180,recon_Wpt,0.975,0.1347135924197235,0.027197162863297947,83.92023871882976,1.9718124839288294
53,HLT_PFHT180,deltaR_bb,0.982,0.13941388907679914,0.02922348604714698,83.9893193882665,1.9749411048446746
54,HLT_PFHT180,deltaR_W,0.934,0.1378032470070512,0.028459520519693755,83.9328536253015,1.9677948221935821
55,HLT_PFHT180,Jet_HT,0.978,0.13372472298351648,0.02710744530691656,83.2972012374014,1.9682424834911671
56,HLT_PFHT180,bJet_pt1,0.951,0.1334485746613367,0.026928126224331446,83.67114141515427,1.9676608790075534
57,HLT_PFHT180,bJet_pt2,0.948,0.13050157110789826,0.025593897946910336,83.64999279266297,1.971328849116162
58,HLT_PFHT180,WJet_pt1,1.0,0.13760371167519017,0.02838938770825183,83.85697686295417,1.9690857257514836
59,HLT_PFHT180,WJet_pt2,0.944,0.1337430664402109,0.0267837485669725,84.09411642635325,1.973277717289875
60,HLT_PFHT180,bJet_btagDeepB1,0.966,0.13342133847462162,0.02718136456017754,84.1537185359323,1.9732839514438183
61,HLT_PFHT180,bJet_btagDeepB2,0.964,0.1368559733967206,0.02845989836686643,84.0478608125234,1.9678032651120247
62,HLT_PFHT180,WJet_btagDeepB1,0.965,0.13789094343796848,0.028934215950103176,83.98527012366584,1.9697133621633611
63,HLT_PFHT180,WJet_btagDeepB2,0.94,0.13696434047809652,0.028558632934598975,83.93855109973441,1.9716651772873774
64,HLT_PFHT180,recon_Wmass,0.78,0.1322156829724872,0.027300320091244033,82.47364287662519,1.9708188845277164
65,HLT_PFHT180,recon_Hmass,0.836,0.12764340047189515,0.02412488198217934,82.66080450405391,1.9666548030202193
66,HLT_PFHT180,deltaR_reconHW,0.866,0.12975374423490307,0.025752306365595775,81.51666993747052,1.9756224293591913
67,HLT_PFHT180,recon_Hpt,0.928,0.13265683067166614,0.02642831136686333,83.86028579062277,1.965033715193158
68,HLT_PFHT180,recon_Wpt,0.96,0.13646914065818788,0.02776929581823448,83.99410278989939,1.9689288974666397
69,HLT_PFHT180,deltaR_bb,0.96,0.1327453341478063,0.0265383922028482,84.03741357952545,1.9741378475969213
70,HLT_PFHT180,deltaR_W,0.957,0.13678408737323144,0.028273514854621738,84.00734048894915,1.9710954455651972
71,HLT_PFHT180,Jet_HT,0.956,0.1340835906402219,0.02704484357336071,83.43913188882193,1.9759184981329554
72,HLT_PFHT180,bJet_pt1,0.998,0.13467565711549084,0.02719046315354312,83.84531326751788,1.9722985289827193
73,HLT_PFHT180,bJet_pt2,0.939,0.13196282363894146,0.026089246471997434,83.52626096811606,1.968843116262633
74,HLT_PFHT180,WJet_pt1,0.961,0.13569880773017276,0.027880955737100494,83.90500621055023,1.9693326815258843
75,HLT_PFHT180,WJet_pt2,0.965,0.13247891569743347,0.0265865509073574,83.95771570937654,1.9780941172974735
76,HLT_PFHT180,bJet_btagDeepB1,0.973,0.1400952557444015,0.02974854365367124,83.90145735281612,1.9705161747522197
77,HLT_PFHT180,bJet_btagDeepB2,0.989,0.1371591197315443,0.028553362282607568,83.90270105509128,1.9712012959339518
78,HLT_PFHT180,WJet_btagDeepB1,0.964,0.13775494913417605,0.028567139631138095,83.95704123364175,1.9777532222524314
79,HLT_PFHT180,WJet_btagDeepB2,0.956,0.13518721516879698,0.02763077442363643,83.87331370811033,1.969792852169121
