options,AMS,AMSstd,AMSrecon,AMSreconstd,sigevents,sigeventsstd,bckevents,ROCIntegral,overtrain
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=7.5%:MaxDepth=5,0.864,,1.107,0.023,291.46650050332147,12.97,75625.94706217448,0.83,1.904
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=7.5%:MaxDepth=7,0.843,,1.123,0.021,282.48486688484746,30.505,71116.02470332384,0.828,1.905
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=1%:NTrees=100,0.899,,0.878,0.015,938.883250037829,267.324,1251892.023457845,0.833,1.974
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=1%:NTrees=1000,1.007,,1.02,0.0,632.2208984221021,10.635,395650.2862548828,0.843,1.963
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=1%:NTrees=250,0.941,,0.922,0.03,847.1020991702876,98.617,884452.645731608,0.838,1.972
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=1%:NTrees=400,0.986,,1.005,0.009,684.7565027475357,38.951,482990.40930684406,0.84,1.971
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=1%:NTrees=600,1.01,,1.017,0.012,623.5837749391794,90.959,394512.7738291423,0.841,1.97
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=10%:NTrees=100,0.814,,0.816,0.002,1314.013170838356,433.77,2866949.5083007812,0.829,1.976
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=10%:NTrees=1000,0.896,,0.923,0.0,1111.4442301591237,90.084,1488143.578125,0.837,1.969
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=10%:NTrees=250,0.844,,0.866,0.006,1230.275970141093,135.318,2098544.9440104165,0.833,1.976
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=10%:NTrees=400,0.863,,0.881,0.006,1164.6968331535656,32.966,1792002.705891927,0.835,1.974
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=10%:NTrees=600,0.877,,0.898,0.006,1206.543507039547,174.778,1868126.6434733074,0.834,1.969
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=2.5%:NTrees=100,0.872,,0.873,0.002,775.7371212542057,171.367,840948.2917277018,0.833,1.975
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=2.5%:NTrees=1000,0.998,,1.008,0.023,718.3658525149027,26.1,524588.5832417806,0.843,1.963
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=2.5%:NTrees=250,0.946,,0.936,0.012,745.0071128209432,40.346,650789.7309570312,0.837,1.972
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=2.5%:NTrees=400,0.975,,0.981,0.005,646.4103898207346,30.362,443969.6575826009,0.841,1.974
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=2.5%:NTrees=600,0.995,,0.986,0.007,628.1796183014909,13.233,420150.5791015625,0.841,1.969
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=5%:NTrees=100,0.857,,0.865,0.019,1025.193719069163,22.805,1467610.7908528645,0.832,1.977
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=5%:NTrees=1000,0.954,,0.977,0.017,836.3225484192371,65.112,755886.6748453776,0.839,1.96
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=5%:NTrees=250,0.914,,0.914,0.016,983.8800870776176,117.973,1195255.9039916992,0.838,1.971
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=5%:NTrees=400,0.92,,0.934,0.016,752.6931909273068,55.011,664684.962987264,0.838,1.975
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=5%:NTrees=600,0.932,,0.949,0.007,875.5977914234003,69.621,872854.5928548177,0.84,1.969
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=7.5%:NTrees=100,0.84,,0.842,0.006,1078.7028672173622,325.23,1785772.2239278157,0.831,1.975
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=7.5%:NTrees=1000,0.929,,0.951,0.012,875.722680384914,91.262,873885.558517456,0.839,1.965
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=7.5%:NTrees=250,0.884,,0.909,0.019,1042.3389806350071,99.646,1365483.4580485027,0.835,1.973
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=7.5%:NTrees=400,0.905,,0.922,0.01,985.6089057475328,108.822,1184048.8735173543,0.838,1.974
SeparationType=GiniIndexWithLaplace:MaxDepth=3:MinNodeSize=7.5%:NTrees=600,0.924,,0.941,0.009,1005.9099850058556,57.758,1169064.6013997395,0.838,1.972
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=1000:MaxDepth=10,0.949,,1.29,0.241,481.44149927298236,724.705,537890.4167503515,0.82,1.694
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=1000:MaxDepth=15,0.677,,1.18,0.208,983.0776658753554,837.074,1324242.418378194,0.816,1.639
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=1000:MaxDepth=5,1.021,,1.133,0.042,490.6842910548051,282.799,246973.05327097574,0.838,1.889
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=1000:MaxDepth=7,0.931,,1.143,0.015,1078.281161683301,146.215,931476.8631413778,0.828,1.798
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=100:MaxDepth=10,0.974,,1.07,0.02,891.325837055842,50.145,711510.3321126302,0.834,1.922
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=100:MaxDepth=15,0.978,,1.45,0.615,572.9476857582728,451.275,403156.78976392746,0.831,1.9
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=100:MaxDepth=5,0.996,,1.006,0.017,622.318316767613,285.931,460254.69744110113,0.837,1.966
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=100:MaxDepth=7,1.014,,1.03,0.0,714.9140885050098,248.28,533922.1485900879,0.837,1.947
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=250:MaxDepth=10,0.964,,1.137,0.006,592.7498041366538,389.06,365091.6776199341,0.83,1.86
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=250:MaxDepth=15,0.907,,1.117,0.021,762.9638119662801,157.496,498710.12122599286,0.827,1.833
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=250:MaxDepth=5,1.02,,1.05,0.02,800.3097623785337,15.965,602234.1646728516,0.84,1.949
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=250:MaxDepth=7,1.027,,1.153,0.093,403.3311948155363,411.811,236690.64581783614,0.836,1.904
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=400:MaxDepth=10,0.874,,1.113,0.025,876.3972874482473,326.794,708382.4977416992,0.827,1.816
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=400:MaxDepth=15,0.854,,1.12,0.017,900.7961261073748,183.184,697942.5582682291,0.824,1.783
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=400:MaxDepth=5,1.023,,1.267,0.315,574.0949887434641,474.336,417959.42749744654,0.841,1.938
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=400:MaxDepth=7,1.005,,1.14,0.02,703.5639761636654,278.15,430288.76141587895,0.834,1.876
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=600:MaxDepth=10,0.922,,1.267,0.263,798.114898249507,682.552,789846.4982577165,0.823,1.771
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=600:MaxDepth=15,0.743,,1.063,0.025,1316.1189623748264,691.271,1918048.0882286231,0.819,1.727
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=600:MaxDepth=5,1.033,,1.107,0.021,667.8086300343275,267.794,420304.15347798663,0.839,1.916
SeparationType=GiniIndexWithLaplace:MinNodeSize=1%:NTrees=600:MaxDepth=7,0.969,,1.173,0.021,671.938734278083,368.771,411695.94142659503,0.832,1.845
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=10%:MaxDepth=10,0.881,,0.947,0.017,1071.7991795341175,122.243,1315866.1512858074,0.836,1.96
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=10%:MaxDepth=15,0.901,,0.956,0.012,967.8890364865462,83.499,1043668.6443277994,0.836,1.958
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=10%:MaxDepth=5,0.911,,0.94,0.022,1044.8664616247017,120.889,1275082.2904052734,0.836,1.956
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=10%:MaxDepth=7,0.9,,0.941,0.006,1071.705408235391,109.642,1322370.2122395833,0.836,1.961
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=2.5%:MaxDepth=10,0.903,,1.11,0.02,1045.6065023317933,102.763,917608.8861897787,0.831,1.832
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=2.5%:MaxDepth=15,0.9,,1.15,0.026,947.3430576374132,102.975,712951.227238973,0.829,1.822
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=2.5%:MaxDepth=5,0.971,,1.103,0.023,865.7946121642985,47.558,634221.0925470988,0.838,1.906
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=2.5%:MaxDepth=7,0.986,,1.14,0.017,1017.463312074542,30.017,812168.7195943197,0.833,1.86
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=5%:MaxDepth=10,0.944,,1.053,0.006,936.3465520689884,107.437,808835.1877950033,0.837,1.91
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=5%:MaxDepth=15,0.94,,1.05,0.01,998.2183676709732,209.038,952798.6245117188,0.837,1.913
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=5%:MaxDepth=5,0.945,,1.047,0.032,867.6528157293797,116.285,717854.2661946615,0.838,1.932
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=5%:MaxDepth=7,0.944,,1.053,0.012,915.0391539831957,79.611,776082.9124348959,0.837,1.914
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=7.5%:MaxDepth=10,0.92,,0.992,0.01,912.5468573719263,79.088,866972.9385884603,0.837,1.941
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=7.5%:MaxDepth=15,0.915,,1.001,0.008,911.4862399895986,79.507,845298.8202921549,0.839,1.949
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=7.5%:MaxDepth=5,0.918,,0.987,0.012,1004.6055576329431,127.719,1071857.3154500325,0.837,1.944
SeparationType=GiniIndexWithLaplace:NTrees=1000:MinNodeSize=7.5%:MaxDepth=7,0.92,,0.999,0.001,948.3459416429201,94.66,920833.2581787109,0.837,1.942
