,trigger,leftvar,AMS,AMSrecon,MAD,MSE,ROCIntegral,overtrain,bckevents,sigevents
17,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_nConstituents1', 'WJet_nConstituents2']",1.17,1.03,0.1388763399759219,0.02875588921660099,84.47199535649906,1.9273043240391416,14860.33098602295,109.62030771374702
18,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wmass,1.74,0.731,0.1320230705653138,0.02555044325073272,83.43559810484712,1.9427192104486295,116053.33854675293,246.52013908326626
19,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_reconHW,1.01,0.8,0.12925005318053853,0.025237454795421856,82.8679171775127,1.9338242888102286,20208.738960266113,108.71672973036766
20,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hpt,1.61,0.824,0.13524961194023566,0.027924516082450904,83.99483555062443,1.9301553580862674,65573.31632232666,198.03850176930428
21,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wpt,1.21,0.878,0.13498617786165631,0.027497653405789996,84.18690957391736,1.9254035774138174,57476.02770233154,200.53571888059378
22,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_bb,1.22,0.839,0.13543136956103072,0.028097767992675618,84.18280791315168,1.9312777108489172,29273.617713928223,133.2906474173069
23,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_W,1.14,0.881,0.1392220879785513,0.029477957874312167,84.26014880143235,1.948853026906363,18210.06209564209,109.20472340285778
24,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,Jet_HT,2.63,0.877,0.12435935363292695,0.023603012941941733,83.75511003792913,1.939823435868675,23498.76367878914,122.78891941905022
25,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_pt1', 'bJet_pt2']",1.07,0.845,0.13840624205612803,0.029239554246205314,84.61322928380115,1.942736962072786,74003.39401936531,216.2063755095005
26,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_pt1', 'WJet_pt2']",1.15,1.83,0.13735319253078362,0.028320831825536717,84.13874449817189,1.934716831407286,27665.3961250782,136.9916948378086
27,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepB1', 'WJet_btagDeepB2']",1.88,0.93,0.13539221538556862,0.027617371309270163,84.0890684272239,1.9348228240014578,22041.66596221924,125.071682035923
28,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepC1', 'WJet_btagDeepC2']",1.21,0.856,0.13686000005223856,0.02802967951503463,84.52364063807642,1.9384134091860687,68547.29685211182,217.49879422783852
29,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_mass1', 'bJet_mass2']",1.25,0.893,0.13401057483196413,0.027100313053842397,84.40292767862316,1.942377184637735,22504.33827972412,119.78606414794922
30,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_mass1', 'WJet_mass2']",1.27,0.861,0.13300211413474963,0.026549722933164818,84.45746775159796,1.9357668460779678,79705.9086227417,233.4162978231907
31,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neEmEF1', 'WJet_neEmEF2']",1.26,0.983,0.1316787016052426,0.026193731468317664,84.48551409751275,1.942934112515104,18918.885543823242,127.3892522752285
32,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neHEF1', 'WJet_neHEF2']",1.15,0.939,0.1416369979408992,0.029917111196998174,84.58617912313018,1.9373896193856126,26403.294013261795,133.15814581513405
33,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_qgl1', 'WJet_qgl2']",1.12,0.935,0.1317290539347754,0.02634912876000534,84.22681485880383,1.9378986870713106,19197.969833374023,108.5889912173152
34,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['HJet_qgl1', 'HJet_qgl2']",1.25,1.06,0.1381677534051179,0.02853924958826861,85.09626269100582,1.951282828922558,18966.421741485596,117.88165295124054
35,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_nConstituents1', 'WJet_nConstituents2']",1.32,0.978,0.13644818265827152,0.027903779372951257,84.15656410764535,1.9283134849151793,20050.262252807617,125.23372258991003
36,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wmass,0.969,0.735,0.13168664095658203,0.026348276946599296,83.25183386452746,1.931278246646798,79455.42575073242,204.32157391309738
37,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_reconHW,1.17,0.79,0.13315925731371878,0.026156910271527285,82.6657995998298,1.9319335734603555,67980.61336517334,197.65865324437618
38,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hpt,1.28,0.977,0.14058762591184276,0.02928107914750776,84.51456953565378,1.9429760274815635,22385.542686462402,132.5814729332924
39,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wpt,2.09,0.892,0.135672346196781,0.027951960248463418,85.02425472965587,1.9471184498483893,27127.469970703125,133.14382903277874
40,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_bb,1.25,0.97,0.13360801890941423,0.026785957691455704,84.35370535885512,1.9309247275023154,39040.583656311035,174.59265685081482
41,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_W,1.18,0.909,0.13394550350510517,0.02731200557282435,84.2915257008704,1.9333293777963263,16755.024299621582,109.801369830966
42,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,Jet_HT,1.75,0.907,0.12981810079986658,0.025701488209211854,83.26950957992507,1.9368956356283888,23280.669479370117,133.194851025939
43,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_pt1', 'bJet_pt2']",1.24,0.826,0.14070819955762218,0.029978493620533578,84.06082927227271,1.9274954499924206,22513.923065185547,115.45306921005249
44,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_pt1', 'WJet_pt2']",1.63,0.791,0.13663339284095435,0.027937321996219067,84.418661429009,1.9449738530361174,96825.8105545044,242.1236918196082
45,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepB1', 'WJet_btagDeepB2']",1.64,0.873,0.14064931871163877,0.02988363225935844,84.08529253484258,1.931660201291379,29656.859016418457,138.78027372807264
46,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepC1', 'WJet_btagDeepC2']",1.17,0.851,0.13567191436072232,0.02756492976749409,84.5028507420059,1.9388904442075727,30122.813858032227,141.6201339662075
47,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_mass1', 'bJet_mass2']",1.28,0.833,0.13481010108862707,0.027399982863575867,83.95289897265077,1.930093001043133,29527.816761016846,132.8336346745491
48,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_mass1', 'WJet_mass2']",1.3,1.09,0.13664398354768462,0.02769763484687007,84.2048008827033,1.9373010762819831,21039.156271457672,111.57376788556576
49,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neEmEF1', 'WJet_neEmEF2']",1.26,0.888,0.1354473207707437,0.027843721459887,84.58243782071361,1.9465393153659534,57675.32080078125,205.65028282999992
50,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neHEF1', 'WJet_neHEF2']",1.23,1.51,0.13653525940101185,0.027589555800057564,84.72848171225553,1.945955647058554,19695.580152511597,112.97106854617596
51,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_qgl1', 'WJet_qgl2']",1.32,0.753,0.13724242825420824,0.02836773446133462,83.80706791329717,1.9472142045806322,36621.61079406738,137.4711253270507
52,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['HJet_qgl1', 'HJet_qgl2']",1.28,1.01,0.13712081315650998,0.02851161739198063,84.3332127556345,1.93004665560602,14749.131996154785,108.75724457204342
53,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_nConstituents1', 'WJet_nConstituents2']",1.55,0.851,0.13076147363915036,0.025800304119914862,84.60643185076438,1.9365170496428163,17836.942428588867,102.62805235385895
