,trigger,options,AMS,MAD,MSE,ROCIntegral,overtrain,AMSrecon,bckevents,sigevents
52,HLT_PFHT180,MinNodeSize=0.5,1.48,0.162198836691613,0.041366750963733,91.0448550978934,1.98814095441704,0.823,406193.154052734,510.618272066116
53,HLT_PFHT180,MinNodeSize=1%,1.16,0.150885505685946,0.03605115823687,91.078798352574,1.98394483147661,0.879,71089.9241638184,217.797677367926
54,HLT_PFHT180,MinNodeSize=2.5%,1.16,0.150688721532267,0.03573631837183,91.0800452394938,1.98308659897322,0.799,95011.5498962402,241.69029250741
55,HLT_PFHT180,MinNodeSize=5%,1.16,0.14552697794616,0.032858803504296,90.7981637360115,1.98120602211782,0.807,142631.66784668,296.084473386407
56,HLT_PFHT180,MinNodeSize=10%,0.941,0.137596087351721,0.029400568953428,90.3520973915567,1.98479916451572,0.698,988078.772949219,674.364735007286
57,HLT_PFHT180,SeparationType=CrossEntropy,1.08,0.147532843783569,0.03395953882578,90.8382217757642,1.98128105719358,0.777,83808.0967407227,214.282501243055
58,HLT_PFHT180,SeparationType=GiniIndex,1.04,0.149098509017112,0.035043062304689,90.9645698230779,1.97883996460541,0.748,113968.886230469,235.233149215579
59,HLT_PFHT180,SeparationType=GiniIndexWithLaplace,1.07,0.140779826250264,0.031566437737068,90.8619154457988,1.97858342788641,0.731,154435.694030762,274.700212031603
60,HLT_PFHT180,SeparationType=MisClassificationError,1.09,0.144580093568482,0.032568235006156,90.7839436446906,1.98221937095343,0.756,929919.955566406,711.690516829491
61,HLT_PFHT180,SeparationType=SDivSqrtSplusB,0.342,0.300193986456004,0.131063619802284,75.435350375688,1.97921178963043,0.439,13082296.4375,1359.0333108902
62,HLT_PFHT180,VarTransform=G,1.14,0.152561859542575,0.037610383678956,91.1450982880647,1.98248590045091,0.879,133617.069076538,310.114963546395
63,HLT_PFHT180,VarTransform=N,1.23,0.145208901649411,0.033440321242258,90.7691799570597,1.9849602455667,0.817,169817.196807861,313.923753619194
64,HLT_PFHT180,VarTransform=D,0.726,0.130066542883067,0.0263954187762,89.5857057031458,1.98221384350882,0.588,291090.648193359,280.303557038307
65,HLT_PFHT180,VarTransform=P,0.752,0.128748274982459,0.026581203303287,89.7589375504105,1.98153827896385,0.632,1568322.56640625,721.288048028946
66,HLT_PFHT180,VarTransform=U,1.16,0.152042596228178,0.037210092557039,91.3355202519175,1.98112846782078,0.855,163270.44392395,331.085123866796
67,HLT_PFHT180,NTrees=50,0.62,0.343356962897458,0.168564313645536,88.6659490263435,1.98191162259963,0.462,10940370.765625,1486.10930633545
