,trigger,leftvar,AMS,AMSrecon,MAD,MSE,ROCIntegral,overtrain,bckevents,sigevents
128,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neEmEF1', 'WJet_neEmEF2']",1.07,0.932,0.1979288896103552,0.05787933868820594,83.83116576972611,1.9249568041367926,6027.527334690094,56.38763561099768
129,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neHEF1', 'WJet_neHEF1']",1.03,0.905,0.20272692585493823,0.06043736111850628,84.1745639828128,1.9538351641494955,6787.449218034744,51.8149299621582
130,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_qgl1', 'WJet_qgl2']",0.991,0.836,0.20166745326608404,0.059186625984823237,83.32493087760602,1.9376518866370134,235.47532653808594,8.531139358878136
131,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['HJet_qgl1', 'HJet_qgl2']",0.966,1.62,0.21166598696379144,0.06509061316151647,83.7517556849709,1.9385458692640896,193.54809445142746,11.351499855518341
132,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_nConstituents1', 'WJet_nConstituents2']",1.05,1.13,0.20692102225801778,0.06207402628769631,84.16131012895256,1.9432267614556622,410.63818359375,15.435257405042648
133,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wmass,0.901,0.695,0.19735800556297672,0.05688114472676829,82.50865891026777,1.930742778711874,13187.82907795906,70.93408100306988
134,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hmass,0.89,0.0,0.20231597051516853,0.06005106264890591,82.42484302610296,1.9267258790250708,0.0,0.0
135,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_reconHW,0.945,0.717,0.20281800493538332,0.05964472361482309,81.95167555372656,1.9186137730503106,7151.46305847168,48.13196989893913
136,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hpt,1.11,0.924,0.20356969406190717,0.06144580502904734,83.7723700290915,1.9300803787318728,5800.7093505859375,55.313928067684174
137,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wpt,1.0,1.59,0.20539885655124773,0.061048650689073884,83.85073669607007,1.9219136466501823,740.1396166682243,15.256540633738041
138,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_bb,1.04,0.857,0.2050032285186609,0.06139988113392391,83.75457978673968,1.9243255033452442,7323.966644287109,50.31038898229599
139,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_W,1.1,1.02,0.2096975437455203,0.06430670572245696,83.67524130106598,1.9408695660895319,37858.870856523514,143.0264828875661
140,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,Jet_HT,0.941,0.798,0.19090563208375794,0.054947758492075394,82.21393616987588,1.9225139263323854,14303.05753326416,64.92211329936981
141,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_pt1', 'bJet_pt2']",1.06,1.37,0.20909024025438747,0.06319619933993385,83.5947630272663,1.9243768736987477,1591.2896950244904,13.660496428608894
142,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_pt1', 'WJet_pt2']",1.04,0.845,0.20553750524464576,0.06153926479389559,83.72892034062538,1.936757155443047,5625.0726146698,50.1030780300498
143,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepB1', 'WJet_btagDeepB2']",1.21,1.02,0.1935014470158577,0.05449535786700931,83.61379518077975,1.9395122656560844,17174.287048339844,96.50502452254295
144,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepC1', 'WJet_btagDeepC2']",1.13,1.24,0.20802690724227357,0.06322445605558709,83.93121340102753,1.9307915286517527,6524.779197692871,60.253123097121716
145,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_mass1', 'bJet_mass2']",1.15,0.965,0.20039826517399323,0.05961953376091642,84.11419854153044,1.9385948678936984,23906.100692749023,134.7508430480957
146,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_mass1', 'WJet_mass2']",1.09,0.856,0.20658741505079686,0.06186277277958032,84.24831731096197,1.9274991575639433,12305.715911865234,79.81691393256187
147,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neEmEF1', 'WJet_neEmEF2']",1.05,0.941,0.20732756176885728,0.06297564439916774,83.96860910059966,1.9342802769023564,28373.14697265625,125.57211153954268
148,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neHEF1', 'WJet_neHEF1']",1.29,1.05,0.2052371332246776,0.06182523963696693,83.680628581904,1.9321850355718198,2312.6976158618927,42.07139866054058
149,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_qgl1', 'WJet_qgl2']",1.0,0.767,0.20167504441789366,0.05907738599799473,83.32168413093984,1.9337441805873823,33820.177307128906,131.195161126554
150,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['HJet_qgl1', 'HJet_qgl2']",1.13,2.13,0.201814452418777,0.06045941810133456,84.15113741959587,1.940259486663308,401.23551869392395,10.360227331519127
151,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_nConstituents1', 'WJet_nConstituents2']",0.977,3.36,0.20125501494733938,0.059386586175203974,84.00023930839872,1.9299582357116378,7329.296698272228,47.55865463614464
152,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wmass,0.976,0.745,0.2016774658907846,0.059349749501566164,82.89031576556775,1.9383813088650186,33258.45980834961,130.07904558628798
153,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hmass,0.869,0.0,0.19813950621475018,0.058070339576487766,82.08952988132454,1.9286165587136566,0.0,0.0
154,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_reconHW,0.945,0.705,0.20913338748326182,0.06321653153381543,82.42412168920168,1.9303110914541648,10289.54232788086,65.99248231202364
155,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hpt,1.08,2.35,0.20267394100802422,0.06021281166295659,83.77061618816364,1.917597736055086,853.9679769277573,19.857376225292683
156,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wpt,1.13,0.917,0.2045671247135396,0.06120339445190686,83.99639310077028,1.9429251100564215,26870.84944152832,139.22109186649323
157,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_bb,1.05,1.37,0.20064403471019232,0.06002717284315227,83.93044049413508,1.931889071718615,6733.923210144043,57.819273233413696
158,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_W,0.937,0.758,0.20413895767000723,0.0621923000732098,83.70019967151788,1.9359754857650842,60425.701805114746,174.99293673038483
159,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,Jet_HT,1.1,0.871,0.186598986925909,0.05181524911550447,82.65271726508546,1.936276524917048,8143.628775298595,56.049751937389374
160,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_pt1', 'bJet_pt2']",1.04,0.889,0.20841644351079888,0.06372428617187745,83.53966059143782,1.9276546546871032,8384.508132219315,61.55655675381422
161,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_pt1', 'WJet_pt2']",1.08,1.23,0.19809745421356179,0.05818469018267277,83.82055626414477,1.9461365302659033,4173.316093444824,25.205006144940853
162,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepB1', 'WJet_btagDeepB2']",1.05,0.747,0.21135140972753846,0.06492792938753017,83.0030877816392,1.9264307959601865,60484.915939331055,171.41486483812332
